number of features,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
1,0.0311223610423,0.0398017417407,0.0858538616484,0.0431532390107,0.0296413097126,0.042418410115,0.0593375644693,0.0269060313585,0.0428561325503,0.0358624665023,0.0270842203227,0.0424896521736,0.0159960803254,0.0369020882199,0.0349589032607,0.0272420040247,0.0647919322636,0.0388797234043,0.048771543055,0.0244510579598,0.0214464437502
2,0.0294044665029,0.0379908734597,0.0805213341228,0.0320534443967,0.044747202838,0.0389803007864,0.0569308280962,0.0396448790398,0.0416940629787,0.0439152077488,0.0299491801495,0.0495224031983,0.0264527142675,0.0212849992684,0.0361815636041,0.0380777756657,0.0440715191566,0.0505293985255,0.0689526319203,0.0211798275653,0.0309883698017
3,0.024648621635,0.025723449105,0.0830980319893,0.0387620836332,0.0491886762426,0.0322785407025,0.0645444934879,0.0412924681992,0.0467651657438,0.0471738468387,0.0447010201475,0.0398603884465,0.0291715192579,0.0209502478879,0.0363044621943,0.0308270213806,0.0296376127444,0.0471587594097,0.0802584531525,0.0291540903367,0.0327768559416
4,0.0237872825884,0.0244716135508,0.081555268653,0.0383734818146,0.055307481802,0.0293271925351,0.0639195625161,0.0378162019042,0.0434606054038,0.0416628141395,0.0338733699679,0.0376324271443,0.0308116866961,0.025404022436,0.0335210457995,0.0271621077157,0.0315124688404,0.0451601538191,0.0752075053995,0.025644102966,0.0271150113047
5,0.0247348172324,0.014386434309,0.0784981091528,0.0383458188118,0.0482850370177,0.0316507786046,0.0638033402238,0.0369905259906,0.0443073725882,0.0447625253697,0.0386865078059,0.0436084288429,0.0308550157568,0.0286598256679,0.0305424299064,0.0235301734289,0.0373303510192,0.0479870466666,0.0780608347912,0.0189396080005,0.0254577266941
10,0.0238855066052,0.015659106369,0.0746203995166,0.0304693247747,0.0423434869284,0.0339798218138,0.0393040117411,0.0377560043115,0.0384892141181,0.0384322999663,0.0396283484527,0.0380340149067,0.0335087425843,0.0227389432542,0.0241066059996,0.0248794960458,0.0340545095004,0.0497058861006,0.0795360315084,0.0240117888687,0.0279302227649
33,0.0181469655055,0.0136283855285,0.0682735736228,0.027019449069,0.029553426714,0.0323714202183,0.0418252592115,0.0316318478567,0.0377257665708,0.0332376212844,0.040315224431,0.0414443408401,0.0332486732468,0.0246902505736,0.0195686129869,0.0240990518564,0.0292697116692,0.048289168638,0.0651400211206,0.0371423348757,0.0246095600152
100,0.0181480052901,0.0145169412174,0.0595052997674,0.0219047638286,0.0259333982934,0.0341691885454,0.039407356905,0.0423724692969,0.0418845781766,0.0270291981167,0.039626786141,0.0334562321129,0.0357809169916,0.0226572026695,0.0207218929857,0.0242640232619,0.0242654412744,0.0460623473774,0.0655152421294,0.0369399581446,0.0196026230816
333,0.0145548280556,0.0152461585378,0.053849419184,0.0245114932655,0.0218962723399,0.0367642062113,0.0418559987825,0.0446113046813,0.0386948929099,0.0288239268757,0.0353097871855,0.027825940485,0.0368781134275,0.0305569062343,0.0285647942733,0.0307034113031,0.020193646192,0.0467836009002,0.0741524730514,0.0313461562025,0.0166475164436
1000,0.0146203843359,0.0221391448346,0.0521917349566,0.0277370457833,0.0238470535925,0.0364643257395,0.0412752353329,0.0429939974756,0.0395251592669,0.0326105087884,0.0346384637145,0.0274415019953,0.0372669254218,0.0320944126059,0.0289960681866,0.0290337348221,0.0225849659236,0.0483536307299,0.0736841888117,0.0263088668446,0.0206474837842
3333,0.0130938902332,0.0231375047895,0.0517912232835,0.0270221806411,0.0192020107362,0.0407706048116,0.0395122048403,0.0408989371387,0.0379461695739,0.0310520260283,0.0329984074071,0.0254978975331,0.0295441282723,0.0348538832212,0.029661385442,0.0309109538966,0.0252895238499,0.0497642305014,0.0787193923977,0.0231865618937,0.0223842677154
10000,0.0154734055138,0.0253237908516,0.0455025277963,0.0300246765773,0.0186970256315,0.044710992333,0.0381648464318,0.0469311113449,0.037456164087,0.0279757206357,0.0349474357701,0.0292710219093,0.0290365943832,0.0301944965307,0.0285295673102,0.0276925347164,0.0230097948994,0.0512090643868,0.0762962333378,0.021173048403,0.0260100342942
